年,月,日,平均現地気圧,平均海面気圧,日降水量,最大1時間降水量,最大10分間降水量,平均気温,最高気温,最低気温,平均湿度,最小湿度,平均風速,最大風速,最大風向,最大瞬間風速,最大瞬間風向,日照時間,降雪,最深積雪,天気概況（昼）,天気概況（夜）
2022,06,1,999.6,1009.1,--,--,--,21.3,27.2,15.4,49,26,1.5,3.2,南南西,5.4,南西,5.1,--,--,薄曇,晴時々薄曇
2022,06,2,998.8,1008.3,--,--,--,23.2,29.2,17.5,54,25,2.0,4.3,南西,8.7,南西,13.4,--,--,快晴,晴
2022,06,3,999.7,1009.2,0.0,0.0,0.0,24.0,29.1,19.9,57,36,2.7,5.7,北北東,10.4,北,10.3,--,--,晴後一時曇,晴後一時薄曇
2022,06,4,1002.4,1011.9,--,--,--,22.9,29.2,17.7,50,28,3.0,5.1,北,8.7,北,11.1,--,--,晴,薄曇
2022,06,5,998.9,1008.5,6.5,3.0,1.0,21.5,25.5,18.7,71,49,2.1,4.2,西南西,7.7,南西,3.1,--,--,曇後時々雨,雨
2022,06,6,985.0,994.5,17.0,6.0,2.0,19.9,23.1,17.4,86,65,3.0,6.5,北東,11.9,北東,0.0,--,--,雨一時曇,曇時々雨後晴
2022,06,7,994.6,1004.1,--,0.0,--,20.5,24.9,16.8,62,47,3.1,5.4,北,9.9,北,6.0,--,--,晴後一時曇,晴
2022,06,8,1001.6,1011.2,--,--,--,20.9,26.7,15.2,59,41,1.9,4.4,北北東,6.4,北北東,13.1,--,--,晴一時曇,晴後一時薄曇
2022,06,9,1004.2,1013.7,--,--,--,22.8,28.8,17.3,62,37,2.9,5.3,南西,9.5,南西,13.4,--,--,晴,晴一時曇
2022,06,10,1005.6,1015.2,--,--,--,24.1,29.0,21.1,69,46,2.1,5.4,南南西,9.9,南西,10.2,--,--,晴後薄曇,曇
2022,06,11,1002.8,1012.4,1.5,1.0,0.5,22.0,24.2,19.9,79,67,2.6,5.1,北東,8.9,北北東,0.0,--,--,雨時々曇,雨後時々曇一時晴
2022,06,12,1001.0,1010.5,0.0,0.0,0.0,22.6,27.7,18.6,58,33,3.5,5.9,北,10.5,北東,12.5,--,--,晴,薄曇
2022,06,13,1002.0,1011.5,--,--,--,22.1,26.3,17.4,58,37,2.4,4.5,北東,7.9,東北東,5.2,--,--,曇,曇時々雨
2022,06,14,1001.1,1010.8,13.0,3.0,1.0,19.9,22.6,17.1,79,60,4.1,7.3,北東,13.4,東北東,0.0,--,--,雨一時曇,雨一時曇
2022,06,15,1000.6,1010.2,1.5,1.0,0.5,21.3,27.2,17.9,81,59,2.6,4.8,北北東,7.6,東,1.8,--,--,曇時々雨,曇時々雨
2022,06,16,1000.8,1010.4,0.5,0.5,0.5,23.5,27.2,20.3,79,65,1.8,4.6,西南西,8.1,西,1.3,--,--,曇,曇
2022,06,17,1001.2,1010.6,--,--,--,25.3,29.8,21.6,71,47,2.0,4.8,南南西,8.4,南南西,6.9,--,--,曇一時晴,曇
2022,06,18,999.6,1009.1,0.0,0.0,0.0,24.6,28.3,22.8,75,58,1.8,4.1,西南西,7.5,西南西,3.0,--,--,曇,晴後曇
2022,06,19,1000.1,1009.6,--,--,--,25.2,30.0,22.1,74,56,2.2,5.2,西南西,8.7,西南西,6.1,--,--,曇一時晴,曇
2022,06,20,997.2,1006.6,--,--,--,26.0,29.2,23.9,74,58,2.0,4.3,西南西,7.8,西南西,3.4,--,--,曇,曇
2022,06,21,997.4,1006.9,55.5,14.5,4.5,23.8,25.1,22.1,91,80,1.5,4.1,南南東,7.4,南南東,0.0,--,--,雨,大雨
2022,06,22,998.7,1008.1,3.0,2.0,1.0,25.7,30.2,22.2,83,59,2.0,4.5,南西,7.2,西,6.7,--,--,晴一時雨,曇一時雨後一時晴
